ID,Age,Gender,Education_Level,Country,Employment_Status,Years_Programming,Primary_Role,Company_Size,Languages_Count,Paradigms_Experienced,Primary_Paradigm,Projects_Completed,Hours_Per_Week,Formal_CS_Training,Current_Salary_USD,Imperative_Difficulty,Functional_Difficulty,Object_Oriented_Difficulty,Logic_Difficulty,Reactive_Difficulty,Declarative_Difficulty,Imperative_Months,Functional_Months,Object_Oriented_Months,Logic_Months,Reactive_Months,Declarative_Months,Learning_Curve_Steepness,Plateau_Experienced,Knowledge_Retention,Difficulty_Transitioning,Prefer_First_Paradigm,Mental_Model_Shift,Preferred_Learning_Method,Motivation_Factors,Biggest_Challenge,Transferable_Skills
1,25,Male,Bachelor's Degree,USA,Full-time,3,Frontend Developer,Medium (101-500),4,3,Object-Oriented,15,45,Yes,85000,2,5,3,7,6,4,1,6,2,8,5,3,3,Yes,4,2,Yes,3,Project-based,Problem-solving,Abstract thinking,Algorithm design
2,31,Female,Master's Degree,Germany,Full-time,7,Backend Developer,Large (1000+),6,4,Functional,28,50,Yes,105000,3,4,2,8,7,5,2,5,1,9,6,4,4,Yes,5,4,No,5,Mentorship,Intellectual challenge,Pattern recognition,Problem decomposition
3,28,Non-binary,Bachelor's Degree,Canada,Full-time,4,Full Stack Developer,Small (11-50),5,3,Object-Oriented,22,42,Yes,78000,2,6,3,9,7,5,1,7,2,10,6,4,3,No,3,2,Yes,2,Online courses,Career growth,State management,Debugging skills
4,35,Male,PhD,UK,Full-time,12,DevOps Engineer,Large (1000+),8,5,Functional,45,48,Yes,145000,3,4,2,7,6,5,2,4,1,8,5,3,5,Yes,6,5,No,6,Academic study,Technical elegance,Mathematical thinking,Architecture patterns
5,22,Female,Bachelor's Degree,India,Part-time,1,Junior Developer,Startup (1-10),3,2,Object-Oriented,8,35,Yes,35000,4,7,3,9,8,6,3,8,2,10,7,5,2,No,2,1,Yes,1,Bootcamp,Job requirements,Syntax memorization,Basic logic
6,29,Male,Master's Degree,Brazil,Full-time,5,Mobile Developer,Medium (101-500),5,3,Object-Oriented,18,47,Yes,72000,3,5,2,8,7,4,2,6,1,9,5,3,3,Yes,4,3,Yes,3,Documentation,Practical applications,Object design,Code organization
7,33,Female,Bachelor's Degree,Australia,Full-time,9,Data Scientist,Large (1000+),7,4,Functional,32,45,Yes,115000,2,4,3,7,6,5,1,5,2,8,4,3,4,Yes,5,4,No,4,Peer programming,Community,Pure functions,Data flow thinking
8,26,Male,Bachelor's Degree,France,Contract,3,Game Developer,Small (11-50),4,3,Procedural,12,40,No,65000,4,6,5,9,8,7,3,7,4,10,6,5,3,No,3,2,Yes,2,Tutorials,Project needs,Rule-based thinking,Sequential logic
9,40,Female,Master's Degree,Japan,Full-time,15,System Architect,Large (1000+),9,5,Functional,52,50,Yes,160000,2,3,4,8,7,5,1,4,3,9,6,4,5,Yes,6,5,No,6,Research papers,Theoretical interest,Type systems,Abstraction skills
10,24,Non-binary,Bachelor's Degree,Spain,Full-time,2,Web Developer,Medium (101-500),5,3,Object-Oriented,10,43,Yes,68000,3,6,2,9,7,5,2,7,1,10,6,4,3,No,3,1,Yes,2,Online courses,Career advancement,Library ecosystems,Modular design
11,31,Male,Master's Degree,USA,Full-time,8,Backend Developer,Large (1000+),7,4,Object-Oriented,25,46,Yes,98000,2,4,3,7,6,5,1,5,2,8,4,3,4,Yes,4,3,No,4,Mentorship,Technical challenge,Immutable data,Function composition
12,27,Female,Bachelor's Degree,Poland,Full-time,4,Frontend Developer,Medium (101-500),4,3,Object-Oriented,16,44,Yes,75000,3,5,2,8,7,4,2,6,1,9,5,3,3,No,3,2,Yes,2,Project-based,Job requirements,Class hierarchies,Encapsulation
13,38,Male,PhD,Netherlands,Full-time,14,ML Engineer,Large (1000+),8,5,Functional,38,49,Yes,135000,2,3,4,7,6,5,1,4,3,8,5,4,5,Yes,6,5,No,5,Academic study,Intellectual curiosity,Recursive thinking,Pattern matching
14,23,Female,Bachelor's Degree,Mexico,Part-time,2,Junior Developer,Startup (1-10),3,2,Object-Oriented,6,30,Yes,32000,4,8,3,9,7,6,3,9,2,10,6,5,2,No,2,1,Yes,1,Bootcamp,Immediate needs,Syntax differences,Basic programming
15,32,Non-binary,Master's Degree,Sweden,Full-time,6,Full Stack Developer,Small (11-50),6,4,Functional,20,45,Yes,92000,3,5,2,8,6,4,2,6,1,9,5,3,4,Yes,4,3,No,4,Peer programming,Practical utility,Monads,Data transformation
16,29,Male,Bachelor's Degree,South Korea,Full-time,5,Android Developer,Medium (101-500),5,3,Object-Oriented,14,42,No,70000,4,7,3,9,8,6,3,8,2,10,7,5,3,Yes,3,2,Yes,2,Documentation,Career growth,Inheritance,Object modeling
17,36,Female,Master's Degree,USA,Full-time,11,Backend Developer,Large (1000+),9,5,Object-Oriented,48,50,Yes,125000,2,3,4,8,7,5,1,4,3,9,6,4,5,Yes,6,5,No,6,Research papers,Theoretical depth,Logic programming,Proof thinking
18,26,Male,Bachelor's Degree,Italy,Contract,3,Web Developer,Small (11-50),4,3,Procedural,11,38,Yes,62000,5,8,4,9,7,6,4,9,3,10,6,5,3,No,3,1,Yes,2,Tutorials,Project constraints,Memory management,Control flow
19,42,Female,PhD,UK,Full-time,18,Principal Engineer,Large (1000+),10,5,Functional,55,52,Yes,175000,1,3,4,7,6,5,0.5,4,3,8,5,4,5,Yes,6,5,No,6,Research papers,Theoretical interest,Type systems,Abstraction skills
20,25,Non-binary,Bachelor's Degree,Canada,Full-time,2.5,Frontend Developer,Medium (101-500),5,3,Object-Oriented,12,44,Yes,71000,3,6,2,9,7,5,2,7,1,10,6,4,4,Yes,4,3,No,4,Mentorship,Learning challenge,Lazy evaluation,Expression thinking
21,30,Male,Master's Degree,Germany,Full-time,7,DevOps Engineer,Large (1000+),7,4,Functional,26,46,Yes,102000,2,4,3,7,5,4,1,5,2,8,4,3,3,Yes,3,2,Yes,2,Online courses,Professional development,Polymorphism,API design
22,28,Female,Bachelor's Degree,France,Full-time,4,Data Engineer,Medium (101-500),5,3,Object-Oriented,17,45,Yes,76000,3,5,2,8,7,4,2,6,1,9,5,3,5,Yes,5,5,No,5,Academic study,Conceptual beauty,Constraint solving,Declarative thinking
23,34,Male,Bachelor's Degree,Brazil,Full-time,10,Backend Developer,Small (11-50),8,5,Object-Oriented,35,47,Yes,118000,2,3,4,7,6,5,1,4,3,8,5,4,2,No,2,1,Yes,1,Bootcamp,Job market,Basic paradigms,Simple algorithms
24,22,Female,Bachelor's Degree,India,Part-time,1,Junior Developer,Startup (1-10),3,2,Object-Oriented,5,28,Yes,31000,4,7,3,9,8,6,3,8,2,10,7,5,4,Yes,4,3,No,4,Peer programming,Problem-solving fun,Reactive streams,Event handling
25,31,Non-binary,Master's Degree,USA,Full-time,8,Full Stack Developer,Large (1000+),6,4,Object-Oriented,19,46,Yes,86000,3,No,3,2,Yes,2,Project-based,Career advancement,Design patterns,Software design
26,27,Male,Bachelor's Degree,Australia,Full-time,4,Mobile Developer,Medium (101-500),5,3,Functional,16,42,Yes,73000,5,Yes,5,5,No,5,Academic study,Intellectual stimulation,Type theory,Correctness proof
27,39,Female,PhD,Sweden,Full-time,16,System Architect,Large (1000+),10,5,Object-Oriented,50,50,Yes,165000,3,No,3,1,Yes,2,Documentation,Practical needs,Manual memory,Procedural thinking
28,24,Male,Bachelor's Degree,Spain,Contract,2.5,Game Developer,Small (11-50),4,3,Procedural,10,39,Yes,64000,4,Yes,4,3,No,4,Mentorship,Technical growth,Higher-order functions,Functional patterns
29,33,Female,Master's Degree,Japan,Full-time,9,Backend Developer,Large (1000+),7,4,Functional,27,47,Yes,112000,3,Yes,3,2,Yes,2,Tutorials,Skill development,Class design,OOP principles
30,26,Non-binary,Bachelor's Degree,Poland,Full-time,3,Frontend Developer,Medium (101-500),5,3,Object-Oriented,14,43,Yes,77000,5,Yes,5,5,No,5,Academic study,Theoretical interest,Logic deduction,Rule systems
31,37,Male,Master's Degree,Netherlands,Full-time,12,DevOps Engineer,Large (1000+),8,5,Object-Oriented,33,49,Yes,128000,2,No,2,1,Yes,1,Online courses,Employment,Basic concepts,Simple debugging
32,29,Female,Bachelor's Degree,Mexico,Full-time,5,Web Developer,Small (11-50),4,3,Object-Oriented,11,41,Yes,71000,4,Yes,4,3,No,4,Peer programming,Community interaction,Immutability,Data pipelines
33,24,Male,Bachelor's Degree,South Korea,Part-time,1.5,Junior Developer,Startup (1-10),3,2,Object-Oriented,8,34,Yes,36000,3,No,3,2,Yes,2,Project-based,Career growth,Inheritance chains,Object relations
34,35,Non-binary,Master's Degree,USA,Full-time,10,Data Scientist,Large (1000+),9,5,Functional,44,52,Yes,150000,5,Yes,6,5,No,6,Research papers,Conceptual challenge,Mathematical proofs,Formal methods
35,28,Female,Bachelor's Degree,Canada,Full-time,4,Full Stack Developer,Medium (101-500),5,3,Object-Oriented,13,44,Yes,79000,3,No,3,1,Yes,2,Bootcamp,Job requirements,State handling,Sequential execution
36,41,Male,PhD,Germany,Full-time,17,Principal Engineer,Large (1000+),9,5,Object-Oriented,46,51,Yes,158000,4,Yes,4,3,No,4,Mentorship,Learning experience,Currying,Function reuse
37,26,Female,Bachelor's Degree,UK,Contract,3,Frontend Developer,Small (11-50),4,3,Procedural,9,40,Yes,61000,3,Yes,3,2,Yes,2,Documentation,Practical applications,Encapsulation,Module design
38,32,Male,Master's Degree,France,Full-time,8,Backend Developer,Medium (101-500),7,4,Functional,25,46,Yes,110000,5,Yes,5,5,No,5,Academic study,Intellectual pursuit,Backtracking,Search algorithms
39,27,Non-binary,Bachelor's Degree,Brazil,Full-time,4.5,Mobile Developer,Startup (1-10),5,3,Object-Oriented,12,42,Yes,72000,2,No,2,1,Yes,1,Tutorials,Immediate use,Basic syntax,Simple patterns
40,30,Female,Master's Degree,India,Full-time,7,DevOps Engineer,Large (1000+),8,5,Object-Oriented,32,48,Yes,132000,4,Yes,4,3,No,4,Peer programming,Problem-solving,Observables,Async patterns
41,25,Male,Bachelor's Degree,Australia,Full-time,2.5,Web Developer,Medium (101-500),5,3,Object-Oriented,11,42,Yes,73000,3,No,3,2,Yes,2,Online courses,Career development,Polymorphism,Interface design
42,38,Female,PhD,Spain,Full-time,15,ML Engineer,Large (1000+),9,5,Functional,41,51,Yes,148000,5,Yes,6,5,No,6,Research papers,Theoretical beauty,Type inference,Generic programming
43,23,Non-binary,Bachelor's Degree,Sweden,Part-time,2,Junior Developer,Small (11-50),4,3,Procedural,12,36,No,62000,3,No,3,1,Yes,2,Project-based,Job needs,Memory allocation,Flow control
44,34,Male,Master's Degree,Poland,Full-time,11,Backend Developer,Large (1000+),7,4,Object-Oriented,22,46,Yes,107000,4,Yes,4,3,No,4,Mentorship,Technical depth,Monads,Effect handling
45,29,Female,Bachelor's Degree,Netherlands,Full-time,5,Frontend Developer,Medium (101-500),5,3,Object-Oriented,16,40,Yes,82000,3,Yes,3,2,Yes,2,Documentation,Skill improvement,Design patterns,Architecture
46,26,Male,Bachelor's Degree,Mexico,Contract,3,Full Stack Developer,Small (11-50),4,3,Procedural,12,37,No,59000,5,Yes,5,5,No,5,Academic study,Conceptual understanding,Logic resolution,Query thinking
47,36,Non-binary,Master's Degree,South Korea,Full-time,13,System Architect,Large (1000+),10,5,Object-Oriented,49,52,Yes,162000,2,No,2,1,Yes,1,Bootcamp,Employment,Basic paradigms,Simple solutions
48,31,Female,Bachelor's Degree,USA,Full-time,8,Data Engineer,Medium (101-500),7,4,Functional,24,44,Yes,118000,4,Yes,4,3,No,4,Peer programming,Community learning,Immutability,Data flow
49,28,Male,Master's Degree,Canada,Full-time,5,Android Developer,Startup (1-10),5,3,Object-Oriented,12,42,Yes,74000,3,No,3,2,Yes,2,Project-based,Professional growth,Inheritance,Code reuse
50,24,Female,Bachelor's Degree,Germany,Part-time,2,Junior Developer,Small (11-50),4,3,Procedural,10,39,Yes,67000,5,Yes,5,5,No,5,Academic study,Theoretical interest,Constraint solving,Optimization
51,33,Non-binary,PhD,UK,Full-time,10,Backend Developer,Large (1000+),8,5,Functional,36,48,Yes,140000,2,No,2,1,Yes,1,Documentation,Job needs,Syntax learning,Basic coding
52,27,Male,Bachelor's Degree,France,Full-time,4,Web Developer,Medium (101-500),5,3,Object-Oriented,15,41,Yes,86000,4,Yes,4,3,No,4,Peer programming,Problem enjoyment,Reactive programming,Event systems
53,39,Female,Master's Degree,Brazil,Full-time,14,DevOps Engineer,Large (1000+),8,5,Object-Oriented,31,50,Yes,122000,3,No,3,2,Yes,2,Bootcamp,Career advancement,Polymorphism,Flexible design
54,25,Male,Bachelor's Degree,India,Contract,2.5,Frontend Developer,Small (11-50),4,3,Procedural,11,38,No,59000,5,Yes,6,5,No,6,Research papers,Conceptual depth,Type classes,Generic patterns
55,30,Non-binary,Master's Degree,Australia,Full-time,7,Full Stack Developer,Medium (101-500),6,4,Functional,21,44,Yes,94000,3,No,3,1,Yes,2,Tutorials,Practical use,Memory patterns,Algorithm design
56,35,Female,Bachelor's Degree,Spain,Full-time,9,Backend Developer,Startup (1-10),5,3,Object-Oriented,10,41,Yes,71000,4,Yes,4,3,No,4,Mentorship,Technical growth,Function composition,Pipeline thinking
57,22,Male,Bachelor's Degree,Sweden,Part-time,1,Junior Developer,Small (11-50),3,2,Object-Oriented,6,31,Yes,33000,3,Yes,3,2,Yes,2,Online courses,Skill development,Encapsulation,Module design
58,37,Female,PhD,Poland,Full-time,16,Principal Engineer,Large (1000+),10,5,Object-Oriented,47,51,Yes,160000,5,Yes,5,5,No,5,Academic study,Intellectual curiosity,Logic programming,Rule-based
59,29,Male,Master's Degree,Netherlands,Full-time,6,Mobile Developer,Medium (101-500),5,3,Functional,15,43,Yes,75000,2,No,2,1,Yes,1,Online courses,Job requirements,Basic programming concepts,Simple logical thinking
60,26,Non-binary,Bachelor's Degree,Mexico,Full-time,3.5,Web Developer,Small (11-50),4,3,Object-Oriented,13,42,Yes,78000,4,Yes,4,3,No,4,Peer programming,Community engagement,Immutability principles,Data transformation techniques
61,32,Female,Master's Degree,South Korea,Full-time,8,Data Scientist,Large (1000+),7,4,Functional,20,45,Yes,100000,3,No,3,2,Yes,2,Project-based,Career growth,Class hierarchy design,Object system architecture
62,28,Male,Bachelor's Degree,USA,Full-time,4,Frontend Developer,Medium (101-500),5,3,Object-Oriented,14,42,Yes,79000,5,Yes,6,5,No,6,Research papers,Theoretical challenge,Mathematical thinking patterns,Proof construction skills
63,41,Non-binary,PhD,Canada,Full-time,18,System Architect,Large (1000+),9,5,Functional,39,50,Yes,144000,3,No,3,1,Yes,2,Documentation,Employment opportunities,State management techniques,Control flow design
64,24,Female,Bachelor's Degree,Germany,Contract,2,Junior Developer,Small (11-50),4,3,Procedural,11,38,No,64000,4,Yes,4,3,No,4,Mentorship,Learning curve navigation,Monad concepts,Effect handling patterns
65,34,Male,Master's Degree,UK,Full-time,12,Backend Developer,Medium (101-500),8,5,Object-Oriented,30,49,Yes,125000,3,Yes,3,2,Yes,2,Bootcamp,Practical application needs,Design pattern implementation,Software architecture principles
66,27,Female,Bachelor's Degree,France,Full-time,4.5,Full Stack Developer,Startup (1-10),5,3,Object-Oriented,9,38,Yes,69000,5,Yes,5,5,No,5,Academic study,Conceptual beauty appreciation,Backtracking algorithms,Search pattern optimization
67,31,Non-binary,Master's Degree,Brazil,Full-time,7,DevOps Engineer,Large (1000+),7,4,Functional,23,45,Yes,122000,2,No,2,1,Yes,1,Tutorials,Immediate project needs,Basic syntax acquisition,Simple algorithmic thinking
68,25,Male,Bachelor's Degree,India,Full-time,3,Web Developer,Medium (101-500),5,3,Object-Oriented,13,41,Yes,81000,4,Yes,4,3,No,4,Peer programming,Problem-solving satisfaction,Observable patterns,Async system design
69,38,Female,PhD,Australia,Full-time,15,ML Engineer,Large (1000+),8,5,Object-Oriented,29,47,Yes,130000,3,No,3,2,Yes,2,Online courses,Career development paths,Polymorphic design,Interface architecture
70,23,Male,Bachelor's Degree,Spain,Part-time,1.5,Junior Developer,Small (11-50),4,3,Procedural,12,37,No,65000,5,Yes,6,5,No,6,Research papers,Intellectual stimulation sources,Type inference systems,Generic programming techniques
71,33,Female,Master's Degree,Sweden,Full-time,9,Backend Developer,Medium (101-500),7,4,Functional,18,42,Yes,102000,3,No,3,1,Yes,2,Project-based,Job needs,Memory patterns,Algorithm implementation
72,28,Non-binary,Bachelor's Degree,Poland,Full-time,4,Frontend Developer,Small (11-50),5,3,Object-Oriented,11,40,Yes,77000,4,Yes,4,3,No,4,Mentorship,Technical growth,Function composition,Pipeline design
73,40,Male,PhD,Netherlands,Full-time,17,Principal Engineer,Large (1000+),10,5,Functional,45,53,Yes,170000,3,Yes,3,2,Yes,2,Tutorials,Skill development,Encapsulation,Module design principles
74,26,Female,Bachelor's Degree,Mexico,Contract,3,Mobile Developer,Medium (101-500),5,3,Object-Oriented,12,44,Yes,87000,5,Yes,5,5,No,5,Academic study,Intellectual curiosity,Logic programming,Rule-based systems
75,30,Male,Master's Degree,South Korea,Full-time,6.5,Full Stack Developer,Startup (1-10),6,4,Functional,17,41,Yes,104000,2,No,2,1,Yes,1,Online courses,Job requirements,Basic programming concepts,Simple logical thinking
76,35,Non-binary,Bachelor's Degree,USA,Full-time,11,Backend Developer,Large (1000+),8,5,Object-Oriented,28,48,Yes,135000,4,Yes,4,3,No,4,Peer programming,Community engagement,Immutability principles,Data transformation techniques
