ID,Age,Gender,Education_Level,Country,Employment_Status,Years_Programming,Primary_Role,Company_Size,Languages_Count,Paradigms_Experienced,Primary_Paradigm,Projects_Completed,Hours_Per_Week,Formal_CS_Training,Current_Salary_USD,Imperative_Difficulty,Functional_Difficulty,Object_Oriented_Difficulty,Logic_Difficulty,Reactive_Difficulty,Declarative_Difficulty,Imperative_Months,Functional_Months,Object_Oriented_Months,Logic_Months,Reactive_Months,Declarative_Months,Learning_Curve_Steepness,Plateau_Experienced,Knowledge_Retention,Difficulty_Transitioning,Prefer_First_Paradigm,Mental_Model_Shift,Preferred_Learning_Method,Motivation_Factors,Biggest_Challenge,Transferable_Skills,Avg_Difficulty,Total_Learning_Months,Experience_Level,Salary_Category,Paradigm_Diversity
103,35,Female,Master's Degree,South Korea,Full-time,12.0,Backend Developer,Large (1000+),8,5,Functional,32,47,Yes,142000,3,5.0,3,1,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Project-based,Job needs,Memory patterns,Algorithm implementation,3.5,28.5,Expert (10+ years),High (100k-150k),1.0
104,29,Male,Bachelor's Degree,USA,Full-time,5.0,Full Stack Developer,Small (11-50),5,3,Object-Oriented,15,40,Yes,88000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Mentorship,Technical growth,Function composition,Pipeline design,4.5,28.5,Experienced (5-10 years),Medium (50k-100k),0.6
105,24,Non-binary,Bachelor's Degree,Canada,Part-time,2.0,Junior Developer,Startup (1-10),3,2,Object-Oriented,7,33,Yes,35000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,Yes,3.5,Tutorials,Skill development,Encapsulation,Module design principles,3.6666666666666665,28.5,Intermediate (2-5 years),Low (<50k),0.4
106,38,Female,PhD,Germany,Full-time,17.0,Principal Engineer,Large (1000+),9,5,Functional,36,50,Yes,152000,5,5.0,5,5,7.0,5,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Academic study,Intellectual curiosity,Logic programming,Rule-based systems,5.333333333333333,28.5,Expert (10+ years),Very High (150k+),1.0
107,31,Male,Master's Degree,UK,Full-time,8.0,Android Developer,Medium (101-500),6,4,Object-Oriented,18,43,Yes,98000,2,5.0,2,1,7.0,1,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Online courses,Job requirements,Basic programming concepts,Simple logical thinking,3.0,28.5,Experienced (5-10 years),Medium (50k-100k),0.8
108,28,Female,Bachelor's Degree,France,Full-time,4.0,Web Developer,Small (11-50),5,3,Object-Oriented,13,42,Yes,92000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Peer programming,Community engagement,Immutability principles,Data transformation techniques,4.5,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
109,33,Non-binary,Master's Degree,Brazil,Full-time,9.0,Data Engineer,Startup (1-10),7,4,Functional,20,41,Yes,104000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Project-based,Career growth,Class hierarchy design,Object system architecture,3.6666666666666665,28.5,Experienced (5-10 years),High (100k-150k),0.8
110,25,Male,Bachelor's Degree,India,Contract,2.5,Frontend Developer,Medium (101-500),5,3,Object-Oriented,11,40,Yes,83000,5,5.0,6,5,7.0,6,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Research papers,Theoretical challenge,Mathematical thinking patterns,Proof construction skills,5.666666666666667,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
111,40,Female,PhD,Australia,Full-time,16.0,DevOps Engineer,Large (1000+),8,5,Object-Oriented,30,49,Yes,135000,3,5.0,3,1,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Documentation,Employment opportunities,State management techniques,Control flow design,3.5,28.5,Expert (10+ years),High (100k-150k),1.0
112,23,Non-binary,Bachelor's Degree,Spain,Part-time,1.0,Junior Developer,Small (11-50),4,3,Procedural,11,37,No,62000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Mentorship,Learning curve navigation,Monad concepts,Effect handling patterns,4.5,28.5,Beginner (<2 years),Medium (50k-100k),0.6
113,34,Male,Master's Degree,Sweden,Full-time,10.0,Backend Developer,Medium (101-500),7,4,Functional,17,41,Yes,106000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,Yes,3.5,Bootcamp,Practical application needs,Design pattern implementation,Software architecture principles,3.6666666666666665,28.5,Expert (10+ years),High (100k-150k),0.8
114,30,Female,Bachelor's Degree,Poland,Full-time,6.0,Full Stack Developer,Startup (1-10),6,4,Object-Oriented,14,42,Yes,94000,5,5.0,5,5,7.0,5,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Academic study,Conceptual beauty appreciation,Backtracking algorithms,Search pattern optimization,5.333333333333333,28.5,Experienced (5-10 years),Medium (50k-100k),0.8
115,27,Male,Bachelor's Degree,Netherlands,Full-time,4.5,Web Developer,Small (11-50),5,3,Object-Oriented,12,40,Yes,87000,2,5.0,2,1,7.0,1,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Tutorials,Immediate project needs,Basic syntax acquisition,Simple algorithmic thinking,3.0,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
116,36,Non-binary,PhD,Mexico,Full-time,14.0,System Architect,Large (1000+),9,5,Functional,33,49,Yes,140000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Peer programming,Problem-solving satisfaction,Observable patterns,Async system design,4.5,28.5,Expert (10+ years),High (100k-150k),1.0
117,29,Female,Master's Degree,South Korea,Full-time,7.0,Mobile Developer,Medium (101-500),6,4,Object-Oriented,16,41,Yes,100000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Online courses,Career development paths,Polymorphic design,Interface architecture,3.6666666666666665,28.5,Experienced (5-10 years),High (100k-150k),0.8
118,25,Male,Bachelor's Degree,USA,Full-time,3.0,Frontend Developer,Startup (1-10),5,3,Object-Oriented,10,39,Yes,76000,5,5.0,6,5,7.0,6,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Research papers,Intellectual stimulation sources,Type inference systems,Generic programming techniques,5.666666666666667,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
119,32,Female,Master's Degree,Canada,Full-time,8.0,Backend Developer,Large (1000+),7,4,Functional,19,44,Yes,112000,3,5.0,3,1,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Project-based,Job needs,Memory patterns,Algorithm implementation,3.5,28.5,Experienced (5-10 years),High (100k-150k),0.8
120,28,Non-binary,Bachelor's Degree,Germany,Full-time,4.5,Full Stack Developer,Small (11-50),5,3,Object-Oriented,13,42,Yes,96000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Mentorship,Technical growth,Function composition,Pipeline design,4.5,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
121,39,Male,PhD,UK,Full-time,15.0,ML Engineer,Large (1000+),8,5,Object-Oriented,28,48,Yes,132000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,Yes,3.5,Tutorials,Skill development,Encapsulation,Module design principles,3.6666666666666665,28.5,Expert (10+ years),High (100k-150k),1.0
122,24,Female,Bachelor's Degree,France,Part-time,2.0,Junior Developer,Medium (101-500),4,3,Procedural,11,38,No,65000,5,5.0,5,5,7.0,5,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Academic study,Intellectual curiosity,Logic programming,Rule-based systems,5.333333333333333,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
123,33,Male,Master's Degree,Brazil,Full-time,9.0,DevOps Engineer,Small (11-50),7,4,Functional,21,43,Yes,118000,2,5.0,2,1,7.0,1,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Online courses,Job requirements,Basic programming concepts,Simple logical thinking,3.0,28.5,Experienced (5-10 years),High (100k-150k),0.8
124,27,Female,Bachelor's Degree,India,Full-time,4.5,Web Developer,Startup (1-10),5,3,Object-Oriented,12,41,Yes,90000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Peer programming,Community engagement,Immutability principles,Data transformation techniques,4.5,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
125,37,Non-binary,PhD,Australia,Full-time,16.0,Principal Engineer,Large (1000+),9,5,Object-Oriented,35,47,Yes,144000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Project-based,Career growth,Class hierarchy design,Object system architecture,3.6666666666666665,28.5,Expert (10+ years),High (100k-150k),1.0
126,31,Male,Master's Degree,Spain,Full-time,7.0,Backend Developer,Medium (101-500),6,4,Functional,18,42,Yes,102000,5,5.0,6,5,7.0,6,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Research papers,Theoretical challenge,Mathematical thinking patterns,Proof construction skills,5.666666666666667,28.5,Experienced (5-10 years),High (100k-150k),0.8
127,26,Female,Bachelor's Degree,Sweden,Contract,3.0,Frontend Developer,Small (11-50),5,3,Object-Oriented,11,40,Yes,83000,3,5.0,3,1,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Documentation,Employment opportunities,State management techniques,Control flow design,3.5,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
128,35,Male,Master's Degree,Poland,Full-time,11.0,Full Stack Developer,Startup (1-10),7,4,Object-Oriented,24,44,Yes,120000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Mentorship,Learning curve navigation,Monad concepts,Effect handling patterns,4.5,28.5,Expert (10+ years),High (100k-150k),0.8
129,29,Non-binary,Bachelor's Degree,Netherlands,Full-time,5.5,Android Developer,Medium (101-500),6,4,Functional,17,41,Yes,106000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,Yes,3.5,Bootcamp,Practical application needs,Design pattern implementation,Software architecture principles,3.6666666666666665,28.5,Experienced (5-10 years),High (100k-150k),0.8
130,24,Female,Bachelor's Degree,Mexico,Part-time,1.5,Junior Developer,Small (11-50),4,3,Procedural,10,37,Yes,60000,5,5.0,5,5,7.0,5,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Academic study,Conceptual beauty appreciation,Backtracking algorithms,Search pattern optimization,5.333333333333333,28.5,Beginner (<2 years),Medium (50k-100k),0.6
131,42,Male,PhD,South Korea,Full-time,19.0,System Architect,Large (1000+),10,5,Object-Oriented,43,51,Yes,154000,2,5.0,2,1,7.0,1,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Tutorials,Immediate project needs,Basic syntax acquisition,Simple algorithmic thinking,3.0,28.5,Expert (10+ years),Very High (150k+),1.0
132,30,Female,Master's Degree,USA,Full-time,8.0,Data Scientist,Medium (101-500),7,4,Functional,20,44,Yes,115000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Peer programming,Problem-solving satisfaction,Observable patterns,Async system design,4.5,28.5,Experienced (5-10 years),High (100k-150k),0.8
133,27,Male,Bachelor's Degree,Canada,Full-time,4.0,Web Developer,Startup (1-10),5,3,Object-Oriented,13,43,Yes,91000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Online courses,Career development paths,Polymorphic design,Interface architecture,3.6666666666666665,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
134,34,Non-binary,Master's Degree,Germany,Full-time,10.0,Backend Developer,Large (1000+),8,5,Object-Oriented,29,47,Yes,130000,5,5.0,6,5,7.0,6,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Research papers,Intellectual stimulation sources,Type inference systems,Generic programming techniques,5.666666666666667,28.5,Expert (10+ years),High (100k-150k),1.0
135,28,Female,Bachelor's Degree,UK,Full-time,5.0,Frontend Developer,Small (11-50),5,3,Object-Oriented,14,42,Yes,98000,3,5.0,3,1,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Project-based,Job needs,Memory patterns,Algorithm implementation,3.5,28.5,Experienced (5-10 years),Medium (50k-100k),0.6
136,26,Male,Master's Degree,France,Full-time,3.0,Full Stack Developer,Medium (101-500),5,4,Functional,16,45,Yes,92000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Mentorship,Technical growth,Function composition,Pipeline design,4.5,28.5,Intermediate (2-5 years),Medium (50k-100k),0.8
137,35,Female,PhD,Brazil,Full-time,12.0,Data Engineer,Large (1000+),8,5,Object-Oriented,32,48,Yes,138000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,Yes,3.5,Tutorials,Skill development,Encapsulation,Module design principles,3.6666666666666665,28.5,Expert (10+ years),High (100k-150k),1.0
138,29,Non-binary,Bachelor's Degree,India,Full-time,6.0,Mobile Developer,Small (11-50),5,3,Functional,18,43,Yes,96000,5,5.0,5,5,7.0,5,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Academic study,Intellectual curiosity,Logic programming,Rule-based systems,5.333333333333333,28.5,Experienced (5-10 years),Medium (50k-100k),0.6
139,24,Male,Bachelor's Degree,Australia,Part-time,2.0,Junior Developer,Startup (1-10),3,2,Object-Oriented,8,35,Yes,37000,2,5.0,2,1,7.0,1,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Online courses,Job requirements,Basic programming concepts,Simple logical thinking,3.0,28.5,Intermediate (2-5 years),Low (<50k),0.4
140,40,Female,PhD,Spain,Full-time,17.0,Principal Engineer,Large (1000+),9,5,Functional,37,49,Yes,148000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Peer programming,Community engagement,Immutability principles,Data transformation techniques,4.5,28.5,Expert (10+ years),High (100k-150k),1.0
141,31,Male,Master's Degree,Sweden,Full-time,8.0,Backend Developer,Medium (101-500),7,4,Object-Oriented,22,44,Yes,116000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Project-based,Career growth,Class hierarchy design,Object system architecture,3.6666666666666665,28.5,Experienced (5-10 years),High (100k-150k),0.8
142,27,Female,Bachelor's Degree,Poland,Full-time,4.5,Frontend Developer,Small (11-50),5,3,Object-Oriented,15,41,Yes,88000,5,5.0,6,5,7.0,6,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Research papers,Theoretical challenge,Mathematical thinking patterns,Proof construction skills,5.666666666666667,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
143,38,Male,PhD,Netherlands,Full-time,15.0,DevOps Engineer,Large (1000+),8,5,Functional,34,47,Yes,142000,3,5.0,3,1,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Documentation,Employment opportunities,State management techniques,Control flow design,3.5,28.5,Expert (10+ years),High (100k-150k),1.0
144,25,Female,Bachelor's Degree,Mexico,Contract,2.5,Web Developer,Medium (101-500),5,3,Object-Oriented,12,42,Yes,90000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Mentorship,Learning curve navigation,Monad concepts,Effect handling patterns,4.5,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
145,33,Non-binary,Master's Degree,South Korea,Full-time,9.0,Data Scientist,Startup (1-10),7,4,Object-Oriented,20,43,Yes,108000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,Yes,3.5,Bootcamp,Practical application needs,Design pattern implementation,Software architecture principles,3.6666666666666665,28.5,Experienced (5-10 years),High (100k-150k),0.8
146,28,Male,Bachelor's Degree,USA,Full-time,5.0,Full Stack Developer,Small (11-50),6,4,Functional,19,44,Yes,104000,5,5.0,5,5,7.0,5,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Academic study,Conceptual beauty appreciation,Backtracking algorithms,Search pattern optimization,5.333333333333333,28.5,Experienced (5-10 years),High (100k-150k),0.8
147,24,Female,Bachelor's Degree,Canada,Part-time,2.0,Junior Developer,Medium (101-500),4,3,Procedural,11,39,Yes,68000,2,5.0,2,1,7.0,1,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Tutorials,Immediate project needs,Basic syntax acquisition,Simple algorithmic thinking,3.0,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
148,39,Male,PhD,Germany,Full-time,16.0,System Architect,Large (1000+),9,5,Object-Oriented,38,50,Yes,150000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Peer programming,Problem-solving satisfaction,Observable patterns,Async system design,4.5,28.5,Expert (10+ years),Very High (150k+),1.0
149,30,Female,Master's Degree,UK,Full-time,7.0,Backend Developer,Medium (101-500),7,4,Functional,21,45,Yes,118000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Online courses,Career development paths,Polymorphic design,Interface architecture,3.6666666666666665,28.5,Experienced (5-10 years),High (100k-150k),0.8
150,26,Male,Bachelor's Degree,France,Full-time,3.5,Mobile Developer,Small (11-50),5,3,Object-Oriented,13,42,Yes,94000,5,5.0,6,5,7.0,6,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Research papers,Intellectual stimulation sources,Type inference systems,Generic programming techniques,5.666666666666667,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
151,34,Non-binary,PhD,Brazil,Full-time,13.0,ML Engineer,Large (1000+),8,5,Functional,31,48,Yes,136000,3,5.0,3,1,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Project-based,Job needs,Memory patterns,Algorithm implementation,3.5,28.5,Expert (10+ years),High (100k-150k),1.0
152,29,Female,Bachelor's Degree,India,Full-time,6.0,Web Developer,Medium (101-500),6,4,Object-Oriented,17,43,Yes,102000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Mentorship,Technical growth,Function composition,Pipeline design,4.5,28.5,Experienced (5-10 years),High (100k-150k),0.8
153,27,Male,Master's Degree,Australia,Full-time,4.5,Full Stack Developer,Startup (1-10),5,3,Functional,16,42,Yes,98000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,Yes,3.5,Tutorials,Skill development,Encapsulation,Module design principles,3.6666666666666665,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
